rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
15341,5,1951.200000000,68.729178665,1695.800000000,53.020750655,1693.600000000,50.002999910,203.800000000,23.058620947,51.600000000,6.985699679,203.800000000,23.058620947,0.000000000,0.000000000,0.000000000,0.000000000,51.600000000,6.985699679,0.130768074,0.009272269
15508,5,1975.400000000,32.500769222,1730.600000000,28.183328405,1727.800000000,27.833433134,196.000000000,8.154753215,48.800000000,7.726577509,196.000000000,8.154753215,0.000000000,0.000000000,0.000000000,0.000000000,48.800000000,7.726577509,0.123917073,0.003343259
15674,5,1993.000000000,64.202803677,1728.800000000,41.166734143,1729.200000000,40.474683445,214.000000000,23.958297101,50.200000000,5.069516742,214.000000000,23.958297101,0.000000000,0.000000000,0.000000000,0.000000000,50.200000000,5.069516742,0.132368942,0.008675918
15840,5,2035.200000000,43.597018247,1766.000000000,28.853076093,1767.000000000,27.322152185,213.200000000,13.026895256,56.000000000,9.848857802,213.200000000,13.026895256,0.000000000,0.000000000,0.000000000,0.000000000,56.000000000,9.848857802,0.132176148,0.008148091
16007,5,2025.600000000,49.348758850,1750.400000000,43.287411565,1751.000000000,45.672748987,226.800000000,14.237275020,48.400000000,5.176871642,226.800000000,14.237275020,0.000000000,0.000000000,0.000000000,0.000000000,48.400000000,5.176871642,0.135854971,0.005127092
16173,5,2067.600000000,56.535829347,1778.200000000,47.007446219,1778.800000000,45.778816062,237.600000000,18.809572031,51.800000000,8.136338243,237.600000000,18.809572031,0.000000000,0.000000000,0.000000000,0.000000000,51.800000000,8.136338243,0.139916068,0.008699167
16339,5,2095.200000000,40.158436225,1792.800000000,37.585901612,1793.400000000,42.670833130,244.800000000,7.049822693,57.600000000,6.107372594,244.800000000,7.049822693,0.000000000,0.000000000,0.000000000,0.000000000,57.600000000,6.107372594,0.144351299,0.002883054
16506,5,2123.000000000,45.326592636,1835.000000000,27.703790354,1837.600000000,32.300154798,232.200000000,17.412639088,55.800000000,5.848076607,232.200000000,17.412639088,0.000000000,0.000000000,0.000000000,0.000000000,55.800000000,5.848076607,0.135562551,0.005938255
16672,5,2164.200000000,34.542727165,1852.400000000,28.130055101,1852.800000000,25.133642792,251.200000000,6.220932406,60.600000000,9.939818912,251.200000000,6.220932406,0.000000000,0.000000000,0.000000000,0.000000000,60.600000000,9.939818912,0.144056718,0.003835885
16839,5,2137.800000000,73.791598438,1826.400000000,47.194279314,1826.600000000,47.679135898,257.200000000,19.123284237,54.200000000,16.269603560,257.200000000,19.123284237,0.000000000,0.000000000,0.000000000,0.000000000,54.200000000,16.269603560,0.145428732,0.010883210
