rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
10682,5,1370.200000000,31.893573020,1127.000000000,16.232683081,1127.000000000,15.443445211,200.600000000,13.957077058,42.600000000,6.655824517,200.600000000,13.957077058,0.000000000,0.000000000,0.000000000,0.000000000,42.600000000,6.655824517,0.177339684,0.009463925
10849,5,1407.200000000,15.801898620,1148.800000000,14.822280526,1149.600000000,14.909728368,208.600000000,2.966479395,49.800000000,7.496665926,208.600000000,2.966479395,0.000000000,0.000000000,0.000000000,0.000000000,49.800000000,7.496665926,0.183632896,0.003841756
11015,5,1374.000000000,39.376388864,1127.400000000,36.922892628,1128.200000000,36.362068148,201.800000000,17.123083834,44.800000000,7.694153625,201.800000000,17.123083834,0.000000000,0.000000000,0.000000000,0.000000000,44.800000000,7.694153625,0.179522632,0.008936819
11182,5,1432.200000000,23.541452801,1161.200000000,28.137164036,1160.000000000,24.454038521,220.800000000,18.281137820,50.200000000,4.438468204,220.800000000,18.281137820,0.000000000,0.000000000,0.000000000,0.000000000,50.200000000,4.438468204,0.189227974,0.013933898
11348,5,1456.800000000,25.023988491,1169.400000000,16.994116629,1169.000000000,17.564168070,233.000000000,8.000000000,54.400000000,5.272570531,233.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,54.400000000,5.272570531,0.197248810,0.003579978
11514,5,1457.400000000,29.381967259,1189.400000000,32.113859936,1190.800000000,33.980876975,218.800000000,15.089731608,49.200000000,7.854934755,218.800000000,15.089731608,0.000000000,0.000000000,0.000000000,0.000000000,49.200000000,7.854934755,0.183946173,0.009759842
11681,5,1521.800000000,43.234245686,1219.200000000,27.598913022,1222.000000000,29.723727895,242.800000000,20.765355764,59.800000000,5.805170109,242.800000000,20.765355764,0.000000000,0.000000000,0.000000000,0.000000000,59.800000000,5.805170109,0.198675412,0.012070786
11847,5,1519.000000000,38.535697736,1219.400000000,22.232858566,1216.400000000,20.887795480,242.600000000,10.064790112,57.000000000,7.071067812,242.600000000,10.064790112,0.000000000,0.000000000,0.000000000,0.000000000,57.000000000,7.071067812,0.197120106,0.005862220
12013,5,1533.000000000,20.359273072,1224.200000000,7.661592524,1226.000000000,10.770329614,241.400000000,6.107372594,67.400000000,8.988882022,241.400000000,6.107372594,0.000000000,0.000000000,0.000000000,0.000000000,67.400000000,8.988882022,0.201375005,0.005694084
12180,5,1565.000000000,16.792855624,1248.000000000,13.856406461,1249.600000000,16.009372255,246.400000000,22.333830840,70.600000000,3.209361307,246.400000000,22.333830840,0.000000000,0.000000000,0.000000000,0.000000000,70.600000000,3.209361307,0.202466350,0.013548821
12346,5,1560.400000000,35.571055649,1247.400000000,20.839865643,1246.600000000,20.489021451,252.800000000,15.319921671,60.200000000,12.235195135,252.800000000,15.319921671,0.000000000,0.000000000,0.000000000,0.000000000,60.200000000,12.235195135,0.200476746,0.008493143
12513,5,1616.400000000,32.230420413,1284.400000000,30.229125029,1283.800000000,30.703420005,264.600000000,20.427922068,67.400000000,7.829431652,264.600000000,20.427922068,0.000000000,0.000000000,0.000000000,0.000000000,67.400000000,7.829431652,0.205392825,0.010161294
12679,5,1624.000000000,54.635153519,1280.200000000,19.214577799,1280.600000000,23.586012804,264.400000000,19.982492337,79.400000000,18.229097619,264.400000000,19.982492337,0.000000000,0.000000000,0.000000000,0.000000000,79.400000000,18.229097619,0.211297089,0.015544617
12845,5,1642.400000000,53.125323528,1295.600000000,38.056536889,1298.600000000,41.307384328,263.600000000,8.018728079,83.200000000,10.329569207,263.600000000,8.018728079,0.000000000,0.000000000,0.000000000,0.000000000,83.200000000,10.329569207,0.211079904,0.005700171
13012,5,1660.200000000,34.281190178,1300.400000000,21.984085153,1299.000000000,21.435951110,280.000000000,25.219040426,79.800000000,5.761944116,280.000000000,25.219040426,0.000000000,0.000000000,0.000000000,0.000000000,79.800000000,5.761944116,0.216563101,0.014966919
13178,5,1686.000000000,30.008332176,1309.000000000,9.746794345,1310.200000000,10.940749517,290.400000000,19.616319736,86.600000000,10.737783756,290.400000000,19.616319736,0.000000000,0.000000000,0.000000000,0.000000000,86.600000000,10.737783756,0.223482150,0.009150383
13345,5,1719.600000000,54.802372211,1326.600000000,29.339393313,1327.400000000,30.566321336,301.400000000,19.894722918,91.600000000,11.588787685,301.400000000,19.894722918,0.000000000,0.000000000,0.000000000,0.000000000,91.600000000,11.588787685,0.228333859,0.008947728
13511,5,1735.600000000,32.454583652,1338.600000000,17.728508115,1339.000000000,17.161002302,303.400000000,23.265854809,93.600000000,11.148990986,303.400000000,23.265854809,0.000000000,0.000000000,0.000000000,0.000000000,93.600000000,11.148990986,0.228641179,0.009282541
13677,5,1754.200000000,42.704800667,1340.800000000,15.912259425,1342.400000000,16.846364593,308.600000000,23.954122818,104.800000000,10.207840124,308.600000000,23.954122818,0.000000000,0.000000000,0.000000000,0.000000000,104.800000000,10.207840124,0.235442996,0.012363184
13844,5,1754.000000000,34.734708866,1341.800000000,22.376326776,1340.800000000,22.275547131,305.600000000,18.635986692,106.600000000,5.941380311,305.600000000,18.635986692,0.000000000,0.000000000,0.000000000,0.000000000,106.600000000,5.941380311,0.234942123,0.007411894
14010,5,1798.200000000,38.925570002,1371.800000000,23.328094650,1372.400000000,23.575410919,326.400000000,13.885243966,100.000000000,13.472193585,326.400000000,13.885243966,0.000000000,0.000000000,0.000000000,0.000000000,100.000000000,13.472193585,0.237015324,0.010096863
14176,5,1804.800000000,41.493372965,1367.600000000,23.712865706,1364.000000000,17.860571099,325.200000000,19.992498593,112.000000000,12.549900398,325.200000000,19.992498593,0.000000000,0.000000000,0.000000000,0.000000000,112.000000000,12.549900398,0.242117514,0.010216573
14343,5,1844.800000000,64.036708223,1387.800000000,32.228869046,1392.400000000,31.484917024,334.400000000,21.066561181,122.600000000,20.156884680,334.400000000,21.066561181,0.000000000,0.000000000,0.000000000,0.000000000,122.600000000,20.156884680,0.247466354,0.010176215
14509,5,1832.200000000,15.205262247,1385.800000000,7.429670248,1386.200000000,12.111977543,341.600000000,14.808781179,104.800000000,9.523654761,341.600000000,14.808781179,0.000000000,0.000000000,0.000000000,0.000000000,104.800000000,9.523654761,0.243598771,0.007604418
14676,5,1859.800000000,30.523761236,1395.600000000,24.429490375,1397.200000000,24.651571958,333.000000000,13.095800854,131.200000000,4.207136794,333.000000000,13.095800854,0.000000000,0.000000000,0.000000000,0.000000000,131.200000000,4.207136794,0.249589732,0.005825627
14842,5,1904.400000000,27.070278905,1413.400000000,15.598076805,1413.000000000,15.411035007,357.000000000,12.308533625,134.000000000,10.488088482,357.000000000,12.308533625,0.000000000,0.000000000,0.000000000,0.000000000,134.000000000,10.488088482,0.257784499,0.005416083
15008,5,1898.600000000,66.489096851,1415.400000000,27.960686687,1417.800000000,27.380650102,350.600000000,26.548069610,132.600000000,16.949926254,350.600000000,26.548069610,0.000000000,0.000000000,0.000000000,0.000000000,132.600000000,16.949926254,0.254160671,0.013075450
15175,5,1933.800000000,14.096098751,1428.800000000,8.074651695,1428.000000000,7.176350047,356.800000000,16.679328524,148.200000000,14.481022063,356.800000000,16.679328524,0.000000000,0.000000000,0.000000000,0.000000000,148.200000000,14.481022063,0.261132464,0.003070206
15341,5,1951.200000000,68.729178665,1438.000000000,28.965496716,1436.000000000,26.570660511,357.600000000,29.669850016,155.600000000,14.397916516,357.600000000,29.669850016,0.000000000,0.000000000,0.000000000,0.000000000,155.600000000,14.397916516,0.262700657,0.011630089
15508,5,1975.400000000,32.500769222,1465.200000000,18.074844398,1463.200000000,19.954949261,360.200000000,5.403702434,150.000000000,12.649110641,360.200000000,5.403702434,0.000000000,0.000000000,0.000000000,0.000000000,150.000000000,12.649110641,0.258228584,0.004908850
15674,5,1993.000000000,64.202803677,1458.800000000,21.475567513,1459.800000000,19.677398202,381.000000000,39.604292697,153.200000000,18.619881847,381.000000000,39.604292697,0.000000000,0.000000000,0.000000000,0.000000000,153.200000000,18.619881847,0.267694885,0.013831595
15840,5,2035.200000000,43.597018247,1477.000000000,11.979148551,1478.000000000,10.908712115,381.400000000,20.044949489,176.800000000,17.753872817,381.400000000,20.044949489,0.000000000,0.000000000,0.000000000,0.000000000,176.800000000,17.753872817,0.274081339,0.011913084
16007,5,2025.600000000,49.348758850,1478.600000000,20.525593779,1480.600000000,19.641792179,391.800000000,23.952035404,155.200000000,19.175505208,391.800000000,23.952035404,0.000000000,0.000000000,0.000000000,0.000000000,155.200000000,19.175505208,0.269876872,0.009560015
16173,5,2067.600000000,56.535829347,1482.400000000,20.971409109,1482.600000000,17.798876369,408.800000000,28.769775807,176.400000000,13.630847369,408.800000000,28.769775807,0.000000000,0.000000000,0.000000000,0.000000000,176.400000000,13.630847369,0.282804762,0.011454225
16339,5,2095.200000000,40.158436225,1493.200000000,16.991174180,1494.000000000,17.762319668,421.200000000,22.443261795,180.800000000,10.663020210,421.200000000,22.443261795,0.000000000,0.000000000,0.000000000,0.000000000,180.800000000,10.663020210,0.287224712,0.007274143
16506,5,2123.000000000,45.326592636,1514.400000000,12.601587202,1515.800000000,15.642889759,415.000000000,26.990739153,193.600000000,13.740451230,415.000000000,26.990739153,0.000000000,0.000000000,0.000000000,0.000000000,193.600000000,13.740451230,0.286509850,0.009435378
16672,5,2164.200000000,34.542727165,1528.200000000,17.093858546,1528.400000000,15.678010078,418.000000000,20.760539492,218.000000000,22.360679775,418.000000000,20.760539492,0.000000000,0.000000000,0.000000000,0.000000000,218.000000000,22.360679775,0.293807089,0.007224332
16839,5,2137.800000000,73.791598438,1513.400000000,25.686572368,1511.200000000,24.712345093,424.800000000,31.091799562,199.600000000,23.265854809,424.800000000,31.091799562,0.000000000,0.000000000,0.000000000,0.000000000,199.600000000,23.265854809,0.291720148,0.013112328
17005,5,2155.600000000,33.649665674,1527.800000000,7.259476565,1528.600000000,6.913754407,420.600000000,22.165288178,207.200000000,18.130085493,420.600000000,22.165288178,0.000000000,0.000000000,0.000000000,0.000000000,207.200000000,18.130085493,0.291092961,0.012313521
